data,id_treballador,nom,hora,id_posicio,posicio,clasificador,familia
2025-04-28,1,Albina,06:00 - 07:00,42,Precintadora shipping,2,4
2025-04-28,1,Albina,07:00 - 08:00,7,Inducciones mesa 7,2,1
2025-04-28,1,Albina,08:00 - 09:00,83,Destinos mesa 2,4,2
2025-04-28,1,Albina,09:00 - 10:00,62,Destinos mesa 7,3,2
2025-04-28,1,Albina,10:00 - 11:00,80,Inducciones mesa 9,4,1
2025-04-28,1,Albina,11:00 - 12:00,65,Destinos mesa 10,3,2
2025-04-28,1,Albina,12:00 - 13:00,14,Inducciones mesa 14,2,1
2025-04-28,1,Albina,13:00 - 14:00,41,Chequeo,2,3
2025-04-28,3,Ángela,06:00 - 07:00,67,Precintadora shipping,3,4
2025-04-28,3,Ángela,07:00 - 08:00,32,Destinos mesa 12,2,2
2025-04-28,3,Ángela,08:00 - 09:00,77,Inducciones mesa 6,4,1
2025-04-28,3,Ángela,09:00 - 10:00,79,Inducciones mesa 8,4,1
2025-04-28,3,Ángela,10:00 - 11:00,94,Sequence 4,4,6
2025-04-28,3,Ángela,11:00 - 12:00,63,Destinos mesa 8,3,2
2025-04-28,3,Ángela,12:00 - 13:00,68,Precintadora shuttle,3,8
2025-04-28,3,Ángela,13:00 - 14:00,56,Destinos mesa 1,3,2
2025-04-28,4,Ariel,06:00 - 07:00,29,Destinos mesa 9,2,2
2025-04-28,4,Ariel,07:00 - 08:00,34,Destinos mesa 14,2,2
2025-04-28,4,Ariel,08:00 - 09:00,22,Destinos mesa 2,2,2
2025-04-28,4,Ariel,09:00 - 10:00,91,Destinos mesa 10,4,2
2025-04-28,4,Ariel,10:00 - 11:00,49,Inducciones mesa 4,3,1
2025-04-28,4,Ariel,11:00 - 12:00,59,Destinos mesa 4,3,2
2025-04-28,4,Ariel,12:00 - 13:00,77,Inducciones mesa 6,4,1
2025-04-28,4,Ariel,13:00 - 14:00,85,Destinos mesa 4,4,2
2025-04-28,8,Pelayo,06:00 - 07:00,88,Destinos mesa 7,4,2
2025-04-28,8,Pelayo,07:00 - 08:00,37,Destinos mesa 17,2,2
2025-04-28,8,Pelayo,08:00 - 09:00,10,Inducciones mesa 10,2,1
2025-04-28,8,Pelayo,09:00 - 10:00,37,Destinos mesa 17,2,2
2025-04-28,8,Pelayo,10:00 - 11:00,94,Sequence 4,4,6
2025-04-28,8,Pelayo,11:00 - 12:00,26,Destinos mesa 6,2,2
2025-04-28,8,Pelayo,12:00 - 13:00,30,Destinos mesa 10,2,2
2025-04-28,8,Pelayo,13:00 - 14:00,47,Inducciones mesa 2,3,1
2025-04-28,9,Juan,06:00 - 07:00,37,Destinos mesa 17,2,2
2025-04-28,9,Juan,07:00 - 08:00,30,Destinos mesa 10,2,2
2025-04-28,9,Juan,08:00 - 09:00,13,Inducciones mesa 13,2,1
2025-04-28,9,Juan,09:00 - 10:00,78,Inducciones mesa 7,4,1
2025-04-28,9,Juan,10:00 - 11:00,94,Sequence 4,4,6
2025-04-28,9,Juan,11:00 - 12:00,93,Precintadora shuttle,4,8
2025-04-28,9,Juan,12:00 - 13:00,41,Chequeo,2,3
2025-04-28,9,Juan,13:00 - 14:00,40,Destinos mesa 20,2,2
2025-04-28,10,Cristina,06:00 - 07:00,35,Destinos mesa 15,2,2
2025-04-28,10,Cristina,07:00 - 08:00,92,Precintadora shipping,4,4
2025-04-28,10,Cristina,08:00 - 09:00,15,Inducciones mesa 15,2,1
